State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Arizona,April,2020,0,300000,0
Arizona,April,2021,7366,500000,0.07366
Arizona,August,2020,0,300000,0
Arizona,August,2021,0,500000,0
Arizona,December,2020,0,300000,0
Arizona,December,2021,6845,500000,0.06845
Arizona,February,2021,6287,500000,0.06287
Arizona,January,2020,614,100000,0.00614
Arizona,January,2021,2,500000,0.00002
Arizona,July,2020,0,300000,0
Arizona,July,2021,0,500000,0
Arizona,June,2020,0,300000,0
Arizona,June,2021,0,500000,0
Arizona,March,2020,0,300000,0
Arizona,March,2021,6574,500000,0.06574
Arizona,May,2020,0,300000,0
Arizona,May,2021,3029,500000,0.03029
Arizona,November,2020,0,300000,0
Arizona,November,2021,634,500000,0.00634
Arizona,October,2020,0,300000,0
Arizona,October,2021,12,500000,0.00012
Arizona,September,2020,0,300000,0
Arizona,September,2021,0,500000,0
California,April,2019,78523,17039572,1.80375
California,April,2020,0,17560059,0
California,April,2021,0,16043776,0
California,April,2022,0,17118069,0
California,August,2018,63050,9946519,1.30888
California,August,2019,59737,17111561,1.37902
California,August,2020,0,17612940,0
California,August,2021,0,17400341,0
California,December,2018,48018,16952045,1.18533
California,December,2019,51384,17111375,1.2386
California,December,2020,0,17621808,0
California,December,2021,0,17446368,0
California,February,2019,53607,17000145,1.27518
California,February,2020,81597,17548037,1.64772
California,February,2021,0,17474227,0
California,February,2022,0,17105373,0
California,January,2019,47498,16987333,1.19532
California,January,2020,67659,17534015,1.36757
California,January,2021,0,17467791,0
California,January,2022,0,17093390,0
California,July,2019,53685,17095418,1.25402
California,July,2020,0,17611423,0
California,July,2021,0,17393905,0
California,June,2019,49381,17067004,1.18688
California,June,2020,0,17595763,0
California,June,2021,0,17383540,0
California,March,2019,78787,17017169,1.78479
California,March,2020,36054,17576271,0.73521
California,March,2021,0,17488399,0
California,March,2022,0,17111669,0
California,May,2019,81528,17055342,1.83561
California,May,2020,0,17570729,0
California,May,2021,0,17384381,0
California,May,2022,0,17133276,0
California,November,2018,62558,16952338,1.53876
California,November,2019,57416,17099455,1.39909
California,November,2020,0,17597327,0
California,November,2021,0,17425186,0
California,October,2018,92888,16946648,2.15942
California,October,2019,74338,17104339,1.68456
California,October,2020,0,17602416,0
California,October,2021,0,17424923,0
California,September,2018,62255,9946123,1.31004
California,September,2019,69332,17088900,1.57452
California,September,2020,0,17601855,0
California,September,2021,0,17409899,0
Colorado,April,2020,1,500000,0.00001
Colorado,April,2021,1624,500000,0.01624
Colorado,August,2020,2,500000,0.00002
Colorado,August,2021,1135,500000,0.01135
Colorado,December,2020,455,500000,0.00455
Colorado,December,2021,675,300000,0.00675
Colorado,February,2020,797,500000,0.00797
Colorado,February,2021,863,500000,0.00863
Colorado,January,2020,2550,500000,0.0255
Colorado,January,2021,727,500000,0.00727
Colorado,July,2020,2,500000,0.00002
Colorado,July,2021,1317,500000,0.01317
Colorado,June,2020,0,500000,0
Colorado,June,2021,1442,500000,0.01442
