,zipcode,Number of Disconnections,lat,lon
0,90044,145,33.952725,-118.291904
1,90003,118,33.964131,-118.272783
2,90250,108,33.914775,-118.348083
3,90011,104,34.00709,-118.258681
4,90731,102,33.731442,-118.278869
5,90043,98,33.988505,-118.336358
6,92336,96,34.147718,-117.464506
7,91402,95,34.222506,-118.444689
8,93550,95,34.408548,-118.123592
9,92335,94,34.085972,-117.464597
10,92376,93,34.111605,-117.377406
11,92407,91,34.212433,-117.381239
12,90037,84,34.002719,-118.287487
13,90201,84,33.970343,-118.171368
14,90016,83,34.028331,-118.354338
15,90047,82,33.953617,-118.308428
16,90001,81,33.974027,-118.249509
17,93535,81,34.713656,-117.86466
18,90301,80,33.956526,-118.358654
19,93436,78,34.595669,-120.352667
20,90302,74,33.975332,-118.355252
21,91764,69,34.074087,-117.605618
22,92404,69,34.177083,-117.254763
23,91605,68,34.207341,-118.400973
24,90280,67,33.944159,-118.192761
25,91342,67,34.326584,-118.382261
26,91303,66,34.198292,-118.600913
27,92553,66,33.923381,-117.244837
28,92507,64,33.970847,-117.32512
29,90247,63,33.890853,-118.297967
30,92410,63,34.107379,-117.297547
31,91730,62,34.10097,-117.57882
32,92503,61,33.882579,-117.442303
33,90008,59,34.009552,-118.346724
34,90042,59,34.114708,-118.192098
35,92324,58,34.02452,-117.289255
36,90002,57,33.949099,-118.246737
37,90022,57,34.023728,-118.156275
38,91786,57,34.105282,-117.662035
39,90255,56,33.979248,-118.217438
40,91601,56,34.1692,-118.372498
41,92231,56,32.687552,-115.541028
42,92551,56,33.88274,-117.224878
43,90026,55,34.080017,-118.262643
44,90046,55,34.10781,-118.362247
45,91335,55,34.200175,-118.540958
46,90262,53,33.923533,-118.200705
47,91343,52,34.237912,-118.482306
48,93230,52,36.29223,-119.622676
49,90744,51,33.779284,-118.261723
50,91406,51,34.195685,-118.490752
51,91767,51,34.083086,-117.737997
52,90062,49,34.003638,-118.308806
53,91304,49,34.224196,-118.632394
54,91709,49,33.963723,-117.738596
55,92530,49,33.649528,-117.376774
56,90027,48,34.127194,-118.295647
57,91405,48,34.199824,-118.447609
58,92240,48,33.95154,-116.520104
59,92880,48,33.925311,-117.607297
60,90018,47,34.028887,-118.317183
61,90059,47,33.926262,-118.249883
62,90706,47,33.887821,-118.12725
63,91387,47,34.402509,-118.363427
64,91762,47,34.05941,-117.674011
65,93309,47,35.342891,-119.064803
66,93536,47,34.74739,-118.369249
67,90033,46,34.05038,-118.211991
68,90045,46,33.942108,-118.417488
69,90640,46,34.015444,-118.111012
70,92583,46,33.795196,-116.932856
71,90019,45,34.049841,-118.33846
72,91321,45,34.36811,-118.489038
73,91607,45,34.165783,-118.399795
74,92618,45,33.666942,-117.732094
75,93215,45,35.779507,-119.200825
76,91710,44,34.004468,-117.684697
77,90004,43,34.076198,-118.310722
78,90303,43,33.939766,-118.331085
79,92879,43,33.882614,-117.528204
80,90221,42,33.885624,-118.205918
81,91344,42,34.294615,-118.507001
82,92374,42,34.067146,-117.171885
83,92557,42,33.97216,-117.258409
84,92562,42,33.547613,-117.34404
85,93274,42,36.178091,-119.370752
86,90012,41,34.065975,-118.238642
87,91505,41,34.173885,-118.346937
88,93454,41,34.923013,-120.259463
89,90023,40,34.022502,-118.199613
90,90220,40,33.88151,-118.234451
91,91739,40,34.172754,-117.521243
92,92227,40,32.990121,-115.358757
93,93245,40,36.29227,-119.829463
94,93308,40,35.621087,-118.789677
95,90063,39,34.045105,-118.185914
96,90065,39,34.112272,-118.225496
97,92677,39,33.528868,-117.701175
98,93534,39,34.713292,-118.15292
99,91311,38,34.293338,-118.603118
100,93292,38,36.37559,-119.211689
101,90038,37,34.088475,-118.325527
102,92243,37,32.770197,-115.59859
103,93312,37,35.393478,-119.12046
104,91331,36,34.255442,-118.421314
105,91606,36,34.185767,-118.388323
106,91706,36,34.09741,-117.968269
107,92592,36,33.511228,-117.042396
108,92882,36,33.840451,-117.601961
109,93257,36,35.988087,-118.860221
110,90036,35,34.07041,-118.350411
111,90710,35,33.799904,-118.298661
112,92544,35,33.648169,-116.895308
113,93654,35,36.658709,-119.401274
114,91744,34,34.031415,-117.93647
115,92346,34,34.126779,-117.183104
116,92509,34,34.003266,-117.442004
117,92543,34,33.667301,-116.963506
118,93277,34,36.301334,-119.372586
119,90025,33,34.045421,-118.445873
120,90029,33,34.089848,-118.294661
121,91401,33,34.178483,-118.431791
122,93458,33,34.95934,-120.490081
123,91352,32,34.230854,-118.365856
124,91602,32,34.150818,-118.368159
125,93618,32,36.521012,-119.389446
126,90035,31,34.051809,-118.383674
127,91364,31,34.15404,-118.593153
128,90242,30,33.921793,-118.140588
129,90501,30,33.833744,-118.314022
130,91306,30,34.209532,-118.577563
131,92504,30,33.903134,-117.398044
132,92805,30,33.830457,-117.905941
133,93060,30,34.402343,-119.094824
134,93551,30,34.604105,-118.239213
135,91205,29,34.13658,-118.245839
136,91367,29,34.177311,-118.615704
137,92313,29,34.031011,-117.312929
138,92405,29,34.144618,-117.301301
139,90066,28,34.002028,-118.430656
140,90260,28,33.88856,-118.351813
141,91761,28,34.035602,-117.591528
142,91766,28,34.042286,-117.756106
143,92223,28,33.948255,-116.987839
144,92373,28,34.011953,-117.159699
145,92506,28,33.934335,-117.367319
146,92627,28,33.647763,-117.919761
147,92656,28,33.576212,-117.730368
148,92833,28,33.879329,-117.961752
149,93033,28,34.150212,-119.127729
150,93291,28,36.391777,-119.372842
151,90017,27,34.052913,-118.26434
152,90602,27,33.972782,-118.022066
153,90621,27,33.874224,-117.993368
154,90631,27,33.942708,-117.952483
155,90745,27,33.822725,-118.264109
156,91325,27,34.237519,-118.517712
157,91770,27,34.065493,-118.084529
158,91776,27,34.090776,-118.095091
159,90020,26,34.066379,-118.30987
160,90032,26,34.078195,-118.185501
161,90061,26,33.92128,-118.274186
162,90605,26,33.950295,-118.024352
163,90660,26,33.989524,-118.089299
164,91504,26,34.204568,-118.326365
165,92399,26,34.032301,-117.010574
166,92411,26,34.122501,-117.320138
167,92545,26,33.729853,-117.03406
168,92571,26,33.828396,-117.20766
169,92780,26,33.734005,-117.819163
170,90015,25,34.039378,-118.2663
171,90241,25,33.940445,-118.129022
172,90650,25,33.906956,-118.08264
173,91355,25,34.439855,-118.644401
174,91411,25,34.178522,-118.459234
175,91604,25,34.140822,-118.392864
176,92706,25,33.765301,-117.881976
177,92868,25,33.788145,-117.87655
178,93280,25,35.652242,-119.4464
179,93311,25,35.192404,-119.175866
180,93501,25,35.067111,-118.184941
181,90006,24,34.048041,-118.294177
182,90034,24,34.030578,-118.399613
183,90068,24,34.129772,-118.330989
184,92595,24,33.617844,-117.259304
185,92672,24,33.42411,-117.606775
186,92801,24,33.844983,-117.952151
187,92804,24,33.818246,-117.974985
188,93263,24,35.492805,-119.286861
189,90039,23,34.111885,-118.261033
190,91733,23,34.046243,-118.053748
191,92555,23,33.889702,-117.113427
192,92563,23,33.580016,-117.14736
193,92591,23,33.535277,-117.104791
194,92626,23,33.679591,-117.908531
195,93065,23,34.258405,-118.775026
196,93203,23,35.112617,-118.832292
197,93505,23,35.16374,-117.886527
198,90005,22,34.059163,-118.306892
199,90031,22,34.085784,-118.206666
200,91702,22,34.280333,-117.866141
201,91752,22,33.996484,-117.531269
202,91763,22,34.072329,-117.698315
203,92234,22,33.818256,-116.466743
204,92532,22,33.692673,-117.302957
205,92802,22,33.808267,-117.923658
206,92832,22,33.868649,-117.929055
207,92887,22,33.885514,-117.730164
208,93030,22,34.205247,-119.174092
209,93552,22,34.570867,-118.023744
210,90028,21,34.099912,-118.326912
211,90222,21,33.912246,-118.236773
212,90304,21,33.937886,-118.358559
213,90717,21,33.793809,-118.31717
214,91006,21,34.136258,-118.026704
215,91801,21,34.090728,-118.127527
216,92201,21,33.710984,-116.204844
217,92505,21,33.936193,-117.493881
218,92630,21,33.645736,-117.685503
219,93063,21,34.308729,-118.687223
220,93455,21,34.831792,-120.433509
221,90007,20,34.028129,-118.284829
222,90057,20,34.061735,-118.276757
223,90249,20,33.90139,-118.315697
224,90291,20,33.993396,-118.465193
225,91316,20,34.160236,-118.515472
226,91350,20,34.440891,-118.501747
227,92883,20,33.748086,-117.468037
228,93212,20,36.042151,-119.5277
229,90041,19,34.137412,-118.207607
230,91765,19,33.98627,-117.821282
231,91768,19,34.063516,-117.790379
232,92260,19,33.708012,-116.403627
233,92262,19,33.860925,-116.566176
234,92648,19,33.67901,-118.014603
235,92703,19,33.747155,-117.907326
236,92806,19,33.83796,-117.870494
237,93041,19,34.106896,-119.099535
238,90024,18,34.065723,-118.434969
239,90723,18,33.898883,-118.166629
240,91301,18,34.123286,-118.758541
241,91302,18,34.123305,-118.671025
242,91423,18,34.148617,-118.433298
243,91723,18,34.084747,-117.886844
244,91740,18,34.119367,-117.855054
245,92582,18,33.807607,-117.015163
246,92620,18,33.714796,-117.749139
247,92701,18,33.74822,-117.858473
248,90266,17,33.889151,-118.402127
249,91340,17,34.286687,-118.43508
250,92220,17,33.948948,-116.832362
251,92337,17,34.049809,-117.470613
252,92584,17,33.652675,-117.173568
253,92649,17,33.72524,-118.051579
254,92683,17,33.752468,-117.993933
255,92688,17,33.619672,-117.612087
256,92692,17,33.606497,-117.643112
257,92704,17,33.721131,-117.90511
258,93648,17,36.620634,-119.520731
259,90270,16,33.987729,-118.186597
260,90604,16,33.927691,-118.013828
261,91324,16,34.238208,-118.55029
262,91351,16,34.441596,-118.448109
263,91732,16,34.07342,-118.015345
264,92501,16,33.99504,-117.373184
265,92585,16,33.746707,-117.172142
266,93422,16,35.463544,-120.692911
267,93560,16,34.866894,-118.339832
268,91104,15,34.165356,-118.123751
269,91206,15,34.160359,-118.213769
270,91745,15,33.999005,-117.972146
