State,Update,Covered,URL
Alabama,8/4/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Alabama. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Alabama
Alaska,9/21/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Alaska. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Alaska
Arizona,11/8/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Arizona. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Arizona
Arkansas,9/22/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility and electric cooperatives in the State of Arkansas. Customers that receive service from a municipal utility are not covered by these policies. ,Arkansas
California,11/5/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or electric cooperatives in the State of California. Customers that receive service from a municipal utility are not covered by these policies. ,California
Colorado,10/25/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, municipal utility, or an electric cooperative in the State of Colorado. ",Colorado
Connecticut,9/28/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or a municipal utility in the State of Connecticut. Customers that receive service from an electric cooperative are not covered by these policies. ,Connecticut
Delaware,11/5/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility and some electric cooperatives in the State of Delaware. Customers that receive service from a municipal utility are not covered by these policies, and some cooperatives may apply to exempt themselves from the Commission’s rules and regulations. ",Delaware
District of Columbia,11/5/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, municipal utility, or an electric cooperative in the District of Columbia. ",District%20of%20Columbia
Florida,8/3/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Florida. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Florida
Georgia,1/20/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Georgia. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Georgia
Hawaii,11/11/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, municipal utility, or an electric cooperative in the State of Hawaii. ",Hawaii
Idaho,5/20/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Idaho. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Idaho
Illinois,10/20/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Illinois. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Illinois
Indiana,10/20/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Indiana. Customers that receive service from a municipal utility are not covered by these policies. ,Indiana
Iowa,11/2/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Iowa. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Iowa
Kansas,11/2/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Kansas. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Kansas
Kentucky,10/12/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Kentucky. Customers that receive service from a municipal utility are not covered by these policies. ,Kentucky
Louisiana,10/12/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Louisiana. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Louisiana
Maine,10/12/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of Maine. ",Maine
Maryland,10/12/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or municipal utility in the State of Maryland. Customers that receive service from an electric cooperative are not covered by these policies. ,Maryland
Massachusetts,11/11/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of Massachusetts",Massachusetts
Michigan,11/11/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Michigan. Customers that receive service from a municipal utility are not covered by these policies. ,Michigan
Minnesota,11/5/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Minnesota. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Minnesota
Mississippi,11/11/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Mississippi. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Mississippi
Missouri,9/6/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Missouri. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Missouri
Montana,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Montana. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Montana
Nebraska,9/15/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of Nebraska.  ",Nebraska
Nevada,9/15/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Nevada. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Nevada
