State,Young Individuals,Medical Condition Individuals,Elderly People,Individuals with Disabilities,Military Veterans
Alabama,No,No,No,No,No
Alaska,No,Yes,Yes,Yes,No
Arizona,No,Yes,No,No,No
Arkansas,No,Yes,Yes,Yes,No
California,No,Yes,No,No,Yes
Colorado,No,Yes,No,No,No
Connecticut,No,Yes,No,No,No
Delaware,No,Yes,No,No,Yes
District of Columbia,No,Yes,No,No,No
Florida,No,No,No,No,No
Georgia,No,Yes,No,No,No
Hawaii,No,No,No,No,No
Idaho,Yes,Yes,Yes,No,No
Illinois,No,Yes,No,No,Yes
Indiana,No,Yes,No,No,No
Iowa,No,Yes,No,No,Yes
Kansas,No,No,No,No,No
Kentucky,No,Yes,No,No,No
Louisiana,No,Yes,Yes,No,Yes
Maine,No,Yes,No,No,No
Maryland,No,Yes,No,No,No
Massachusetts,Yes,Yes,Yes,No,No
Michigan,No,Yes,Yes,No,Yes
Minnesota,No,Yes,No,No,No
Mississippi,No,Yes,No,No,No
Missouri,No,Yes,No,No,No
Montana,No,Yes,Yes,Yes,No
Nebraska,No,Yes,No,Yes,No
Nevada,No,Yes,Yes,Yes,No
New Hampshire,No,Yes,No,No,No
New Jersey,No,Yes,No,No,No
New Mexico,No,Yes,No,No,No
New York,No,Yes,Yes,Yes,No
North Carolina,No,No,Yes,Yes,No
North Dakota,No,Yes,Yes,Yes,No
Ohio,No,Yes,No,No,Yes
Oklahoma,No,Yes,Yes,Yes,No
Oregon,No,Yes,No,No,No
Pennsylvania,No,Yes,No,No,No
Rhode Island,Yes,Yes,Yes,Yes,No
South Carolina,No,Yes,No,No,No
South Dakota,No,Yes,No,No,No
Tennessee,No,Yes,No,No,No
Texas,No,Yes,No,No,No
Utah,No,Yes,No,No,No
Vermont,No,Yes,Yes,No,No
Virginia,No,Yes,No,No,No
Washington,No,Yes,No,No,No
West Virginia,No,No,No,No,No
Wisconsin,Yes,Yes,Yes,Yes,No
Wyoming,No,Yes,No,No,No
