"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate"
"1","CA","PG&E",2018,"August",26016,5529010,0.470536316628112
"2","CA","PG&E",2018,"December",18840,5518884,0.34137336461502
"3","CA","PG&E",2018,"November",10285,5526639,0.186098639697654
"4","CA","PG&E",2018,"October",20687,5532438,0.37392194905754
"5","CA","PG&E",2018,"September",21800,5528160,0.394344592052328
"6","CA","PG&E",2019,"April",21400,5457803,0.392099165176904
"7","CA","PG&E",2019,"August",18711,5473455,0.3418498918873
"8","CA","PG&E",2019,"December",19157,5476829,0.349782693598796
"9","CA","PG&E",2019,"February",14221,5448583,0.261003640763112
"10","CA","PG&E",2019,"January",0,5446798,0
"11","CA","PG&E",2019,"July",18290,5467488,0.334522910704148
"12","CA","PG&E",2019,"June",19852,5464048,0.363320380787284
"13","CA","PG&E",2019,"March",23381,5449450,0.429052473185367
"14","CA","PG&E",2019,"May",30563,5464521,0.559298793068962
"15","CA","PG&E",2019,"November",8573,5474574,0.156596659393041
"16","CA","PG&E",2019,"October",15632,5469697,0.285792796200594
"17","CA","PG&E",2019,"September",23997,5469623,0.438732249005096
"18","CA","PG&E",2020,"April",0,5497361,0
"19","CA","PG&E",2020,"August",0,5495989,0
"20","CA","PG&E",2020,"December",0,5499130,0
"21","CA","PG&E",2020,"February",20693,5492230,0.376768634962483
"22","CA","PG&E",2020,"January",23006,5486580,0.419314035337132
"23","CA","PG&E",2020,"July",0,5501259,0
"24","CA","PG&E",2020,"June",0,5501342,0
"25","CA","PG&E",2020,"March",6955,5498078,0.126498751018083
"26","CA","PG&E",2020,"May",0,5499656,0
"27","CA","PG&E",2020,"November",0,5494096,0
"28","CA","PG&E",2020,"October",0,5493082,0
"29","CA","PG&E",2020,"September",0,5489278,0
"30","CA","PG&E",2021,"April",0,5524282,0
"31","CA","PG&E",2021,"August",0,5533180,0
"32","CA","PG&E",2021,"December",0,5537783,0
"33","CA","PG&E",2021,"February",0,5512643,0
"34","CA","PG&E",2021,"January",0,5507488,0
"35","CA","PG&E",2021,"July",0,5532588,0
"36","CA","PG&E",2021,"June",0,5527937,0
"37","CA","PG&E",2021,"March",0,5518595,0
"38","CA","PG&E",2021,"May",0,5530161,0
"39","CA","PG&E",2021,"November",0,5535966,0
"40","CA","PG&E",2021,"October",0,5534654,0
"41","CA","PG&E",2021,"September",0,5533500,0
"42","CA","PG&E",2022,"April",0,5550448,0
"43","CA","PG&E",2022,"February",0,5544955,0
"44","CA","PG&E",2022,"January",0,5542988,0
"45","CA","PG&E",2022,"March",0,5547795,0
"46","CA","PG&E",2022,"May",0,5554327,0
"47","CA","SDG&E",2018,"December",4384,1419675,0.308803071125434
"48","CA","SDG&E",2018,"November",4343,1417069,0.306477666225145
"49","CA","SDG&E",2018,"October",4311,1416375,0.304368546465449
"50","CA","SDG&E",2019,"April",4085,1429319,0.285800440629419
"51","CA","SDG&E",2019,"August",3727,1441344,0.25857810487989
"52","CA","SDG&E",2019,"December",4232,1455514,0.290756392587086
"53","CA","SDG&E",2019,"February",3711,1424646,0.260485762778964
"54","CA","SDG&E",2019,"January",3682,1422432,0.258852444264471
"55","CA","SDG&E",2019,"July",3730,1437382,0.259499562398861
"56","CA","SDG&E",2019,"June",4074,1434419,0.284017431447854
"57","CA","SDG&E",2019,"March",3693,1427073,0.258781435848061
"58","CA","SDG&E",2019,"May",4081,1431911,0.285003746741243
"59","CA","SDG&E",2019,"November",4107,1451197,0.283007751532011
"60","CA","SDG&E",2019,"October",3180,1448590,0.219523812811078
"61","CA","SDG&E",2019,"September",3724,1444591,0.257789228923619
"62","CA","SDG&E",2020,"April",0,1466317,0
"63","CA","SDG&E",2020,"August",0,1475861,0
"64","CA","SDG&E",2020,"December",0,1487038,0
"65","CA","SDG&E",2020,"February",3704,1461394,0.253456631134383
"66","CA","SDG&E",2020,"January",3766,1458645,0.258184822215138
"67","CA","SDG&E",2020,"July",0,1473495,0
"68","CA","SDG&E",2020,"June",0,1470927,0
"69","CA","SDG&E",2020,"March",1676,1463826,0.114494482267701
"70","CA","SDG&E",2020,"May",0,1468599,0
"71","CA","SDG&E",2020,"November",0,1483278,0
"72","CA","SDG&E",2020,"October",0,1481164,0
"73","CA","SDG&E",2020,"September",0,1478561,0
"74","CA","SDG&E",2021,"April",0,NA,NA
