State,postal_code,Utility Name,Year,Month,Total Connections,Total Disconnections,number_of_reconnections,month_num,year_month,Disconnection Rate,reconnection_rate,cbd_flag,service_type,direct_parent,ultimate_parent,quarter,total_disconnects
Arizona,AZ,Ajo Improvement Company,2020,January,,,,1,2020,,,1,Electric,"",Freeport-McMoRan,1,NoData
Arizona,AZ,Ajo Improvement Company,2020,February,,,,2,2020.08333333333,,,1,Electric,"",Freeport-McMoRan,1,NoData
Arizona,AZ,Ajo Improvement Company,2020,March,,,,3,2020.16666666667,,,1,Electric,"",Freeport-McMoRan,1,NoData
Arizona,AZ,Ajo Improvement Company,2020,April,,,,4,2020.25,,,1,Electric,"",Freeport-McMoRan,2,NoData
Arizona,AZ,Ajo Improvement Company,2020,May,,,,5,2020.33333333333,,,1,Electric,"",Freeport-McMoRan,2,NoData
Arizona,AZ,Ajo Improvement Company,2020,June,,,,6,2020.41666666667,,,1,Electric,"",Freeport-McMoRan,2,NoData
Arizona,AZ,Ajo Improvement Company,2020,July,,,,7,2020.5,,,1,Electric,"",Freeport-McMoRan,3,NoData
Arizona,AZ,Ajo Improvement Company,2020,August,,,,8,2020.58333333333,,,1,Electric,"",Freeport-McMoRan,3,NoData
Arizona,AZ,Ajo Improvement Company,2020,September,,,,9,2020.66666666667,,,1,Electric,"",Freeport-McMoRan,3,NoData
Arizona,AZ,Ajo Improvement Company,2020,October,,,,10,2020.75,,,1,Electric,"",Freeport-McMoRan,4,NoData
Arizona,AZ,Ajo Improvement Company,2020,November,,,,11,2020.83333333333,,,1,Electric,"",Freeport-McMoRan,4,NoData
Arizona,AZ,Ajo Improvement Company,2020,December,,,,12,2020.91666666667,,,1,Electric,"",Freeport-McMoRan,4,NoData
Arizona,AZ,Ajo Improvement Company,2021,January,,0,,1,2021,,,1,Electric,"",Freeport-McMoRan,1,0
Arizona,AZ,Ajo Improvement Company,2021,February,,5,,2,2021.08333333333,,,1,Electric,"",Freeport-McMoRan,1,5
Arizona,AZ,Ajo Improvement Company,2021,March,,3,,3,2021.16666666667,,,1,Electric,"",Freeport-McMoRan,1,3
Arizona,AZ,Ajo Improvement Company,2021,April,,3,,4,2021.25,,,1,Electric,"",Freeport-McMoRan,2,3
Arizona,AZ,Ajo Improvement Company,2021,May,,0,,5,2021.33333333333,,,1,Electric,"",Freeport-McMoRan,2,0
Arizona,AZ,Ajo Improvement Company,2021,June,,0,,6,2021.41666666667,,,1,Electric,"",Freeport-McMoRan,2,0
Arizona,AZ,Ajo Improvement Company,2021,July,,0,,7,2021.5,,,1,Electric,"",Freeport-McMoRan,3,0
Arizona,AZ,Ajo Improvement Company,2021,August,,0,,8,2021.58333333333,,,1,Electric,"",Freeport-McMoRan,3,0
Arizona,AZ,Ajo Improvement Company,2021,September,,0,,9,2021.66666666667,,,1,Electric,"",Freeport-McMoRan,3,0
Arizona,AZ,Ajo Improvement Company,2021,October,,5,,10,2021.75,,,1,Electric,"",Freeport-McMoRan,4,5
Arizona,AZ,Ajo Improvement Company,2021,November,,5,,11,2021.83333333333,,,1,Electric,"",Freeport-McMoRan,4,5
Arizona,AZ,Ajo Improvement Company,2021,December,,4,,12,2021.91666666667,,,1,Electric,"",Freeport-McMoRan,4,4
Arizona,AZ,Ajo Improvement Company,2022,January,,4,,1,2022,,,1,Electric,"",Freeport-McMoRan,1,4
Arizona,AZ,Ajo Improvement Company,2022,February,,3,,2,2022.08333333333,,,1,Electric,"",Freeport-McMoRan,1,3
Arizona,AZ,Ajo Improvement Company,2022,March,,5,,3,2022.16666666667,,,1,Electric,"",Freeport-McMoRan,1,5
Arizona,AZ,Ajo Improvement Company,2022,April,,,,4,2022.25,,,1,Electric,"",Freeport-McMoRan,2,NoData
Arizona,AZ,Ajo Improvement Company,2022,May,,,,5,2022.33333333333,,,1,Electric,"",Freeport-McMoRan,2,NoData
