state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2010,January,24696,779,419,0.0315435698088759,0.0169663103336573,Alabama,City of Dothan,2010,January,779,24696,0.0315435698088759
Alabama,City of Dothan,Electric,Muni,2010,February,24931,584,337,0.0234246520396294,0.0135173077694437,Alabama,City of Dothan,2010,February,584,24931,0.0234246520396294
Alabama,City of Dothan,Electric,Muni,2010,March,25002,1556,832,0.0622350211983041,0.033277337812975,Alabama,City of Dothan,2010,March,1556,25002,0.0622350211983041
Alabama,City of Dothan,Electric,Muni,2010,April,24925,1422,815,0.0570511534603812,0.0326980942828485,Alabama,City of Dothan,2010,April,1422,24925,0.0570511534603812
Alabama,City of Dothan,Electric,Muni,2010,May,24935,993,555,0.0398235412071386,0.0222578704632043,Alabama,City of Dothan,2010,May,993,24935,0.0398235412071386
Alabama,City of Dothan,Electric,Muni,2010,June,25034,712,602,0.0284413198050651,0.0240472956778781,Alabama,City of Dothan,2010,June,712,25034,0.0284413198050651
Alabama,City of Dothan,Electric,Muni,2010,July,25051,1036,566,0.0413556345056086,0.0225939084268093,Alabama,City of Dothan,2010,July,1036,25051,0.0413556345056086
Alabama,City of Dothan,Electric,Muni,2010,August,24094,1673,930,0.0694363742010459,0.0385988212833071,Alabama,City of Dothan,2010,August,1673,24094,0.0694363742010459
Alabama,City of Dothan,Electric,Muni,2010,September,25203,1437,771,0.0570170217831211,0.030591596238543,Alabama,City of Dothan,2010,September,1437,25203,0.0570170217831211
Alabama,City of Dothan,Electric,Muni,2010,October,25039,1519,845,0.0606653620352251,0.033747354127561,Alabama,City of Dothan,2010,October,1519,25039,0.0606653620352251
Alabama,City of Dothan,Electric,Muni,2010,November,24916,954,502,0.0382886498635415,0.0201476962594317,Alabama,City of Dothan,2010,November,954,24916,0.0382886498635415
Alabama,City of Dothan,Electric,Muni,2010,December,23800,479,220,0.0201260504201681,0.0092436974789916,Alabama,City of Dothan,2010,December,479,23800,0.0201260504201681
Alabama,City of Dothan,Electric,Muni,2011,January,26281,828,377,0.0315056504699212,0.0143449640424641,Alabama,City of Dothan,2011,January,828,26281,0.0315056504699212
