State,Utility Name,EIA_table,electric ID,gas ID,EIA_Name,EIA_state,notes
Arizona,Ajo Improvement Company,electric,176,#N/A,AJO IMPROVEMENT CO,AZ,
Arizona,Arizona Public Service Company,electric,803,#N/A,ARIZONA PUBLIC SERVICE CO,AZ,
Arizona,The Morenci Water and Electric Co.,electric,12919,#N/A,MORENCI WATER AND ELECTRIC,AZ,
Arizona,Tuscon Electric Power,electric,24211,#N/A,TUCSON ELECTRIC POWER CO,AZ,
Arizona,UNS Electric,electric,19728,#N/A,"UNS ELECTRIC, INC",AZ,
California,Pacific Gas and Electric Company,electric,14328,#N/A,PACIFIC GAS & ELECTRIC CO.,CA,
California,San Diego Gas & Electric,electric,16609,#N/A,SAN DIEGO GAS & ELECTRIC CO,CA,
California,Southern California Edison Company,electric,17609,#N/A,SOUTHERN CALIFORNIA EDISON CO,CA,
California,Southern California Gas Company,gas,#N/A,LDC060006CA,SOUTHERN CALIFORNIA GAS COMPANY,CA,
Colorado,Atmos Energy,,#N/A,#N/A,,,multiple in gas TX ATMOST ENERGY CORPORATION
Colorado,"Black Hills Colorado Electric, LLC",electric,56146,#N/A,"BLACK HILLS COLORADO ELECTRIC, LLC",CO,
Colorado,"Black Hills Colorado Gas, Inc",,#N/A,#N/A,,,
Colorado,Public Service Company of Colorado,electric,15466,LDC080011CO,PUBLIC SERVICE CO OF COLORADO,CO,
Connecticut,Connecticut Natural Gas Corporation,gas,#N/A,LDC090003CT,CONNETICUT NATURAL GAS CORP,CT,
Connecticut,Eversource Energy,,#N/A,#N/A,,,possible match:  gas MA NSTAR GAS COMPANY
Connecticut,The Southern Connecticut Gas Company,gas,#N/A,LDC090004CT,SOUTHERN CONNECTICUT GAS,CT,
Connecticut,The United Illuminating Company,electric,19497,#N/A,UNITED ILLUMINATING CO,CT,
Connecticut,Yankee Gas Services,gas,#N/A,LDC090001CT,YANKEE GAS SERVICE CO.,CT,
Florida,Duke Energy,electric,6455,#N/A,"DUKE ENERGY FLORIDA, LLC",FL,
Florida,Florida City Gas,gas,#N/A,LDC120006FL,FLORIDA CITY GAS COMPANY,FL,
Florida,Florida Power & Light Company,electric,6452,#N/A,FLORIDA POWER & LIGHT CO,FL,
Florida,Florida Public Utilities,electric,6457,LDC120010FL,FLORIDA PUBLIC UTILITIES CO,FL,
Florida,Gulf Power,electric,7801,#N/A,GULF POWER CO,FL,
Florida,Peoples Gas System's,gas,#N/A,LDC120025FL,"PEOPLES GAS SYSTEMS, INC",FL,
Florida,Tampa Electric Company,electric,18454,#N/A,TAMPA ELECTRIC CO,FL,
Florida,"Utilities, Inc. of Florida",,#N/A,#N/A,,,
Georgia,Georgia Power,electric,7140,#N/A,GEORGIA POWER CO,GA,
Illinois,Ameren Illinois,electric,56697,#N/A,AMEREN ILLINOIS COMPANY,IL,
Illinois,Commonwealth Edison,electric,4110,#N/A,COMMONWEALTH EDISON CO,IL,
Illinois,MidAmerican Energy Company,electric,12341,#N/A,MIDAMERICAN ENERGY CO,IA,gas and electric in EIA listed in Iowa
Indiana,AES Indiana,,#N/A,#N/A,,,
Indiana,Duke,,#N/A,#N/A,,,"multiple possible matches:  several gas and electric that include ""duke"""
Indiana,"Duke Energy Indiana, LLC",electric,15470,#N/A,"DUKE ENERGY INDIANA, LLC",IN,
Indiana,Indiana Michigan Power,,#N/A,#N/A,,,close duplicate: Indiana Michigan Power Company
Indiana,Indiana Michigan Power Company,electric,9324,#N/A,INDIANA MICHIGAN POWER CO,IN,
Indiana,Indianapolis Power & Light Company,electric,9273,#N/A,INDIANAPOLIS POWER & LIGHT CO,IN,
