State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Arizona,Ajo Improvement Company,2020,January,,,
Arizona,Ajo Improvement Company,2020,February,,,
Arizona,Ajo Improvement Company,2020,March,,,
Arizona,Ajo Improvement Company,2020,April,,,
Arizona,Ajo Improvement Company,2020,May,,,
Arizona,Ajo Improvement Company,2020,June,,,
Arizona,Ajo Improvement Company,2020,July,,,
Arizona,Ajo Improvement Company,2020,August,,,
Arizona,Ajo Improvement Company,2020,September,,,
Arizona,Ajo Improvement Company,2020,October,,,
Arizona,Ajo Improvement Company,2020,November,,,
Arizona,Ajo Improvement Company,2020,December,,,
Arizona,Ajo Improvement Company,2021,January,0.0,,
Arizona,Ajo Improvement Company,2021,February,5.0,,
Arizona,Ajo Improvement Company,2021,March,3.0,,
Arizona,Ajo Improvement Company,2021,April,3.0,,
Arizona,Ajo Improvement Company,2021,May,0.0,,
Arizona,Ajo Improvement Company,2021,June,0.0,,
Arizona,Ajo Improvement Company,2021,July,0.0,,
Arizona,Ajo Improvement Company,2021,August,0.0,,
Arizona,Ajo Improvement Company,2021,September,0.0,,
Arizona,Ajo Improvement Company,2021,October,5.0,,
Arizona,Ajo Improvement Company,2021,November,5.0,,
Arizona,Ajo Improvement Company,2021,December,4.0,,
Arizona,Arizona Public Service Company,2020,January,614.0,,
Arizona,Arizona Public Service Company,2020,February,,,
Arizona,Arizona Public Service Company,2020,March,0.0,,
Arizona,Arizona Public Service Company,2020,April,0.0,,
Arizona,Arizona Public Service Company,2020,May,0.0,,
Arizona,Arizona Public Service Company,2020,June,0.0,,
Arizona,Arizona Public Service Company,2020,July,0.0,,
Arizona,Arizona Public Service Company,2020,August,0.0,,
Arizona,Arizona Public Service Company,2020,September,0.0,,
Arizona,Arizona Public Service Company,2020,October,0.0,,
Arizona,Arizona Public Service Company,2020,November,0.0,,
Arizona,Arizona Public Service Company,2020,December,0.0,,
Arizona,Arizona Public Service Company,2021,January,0.0,,
Arizona,Arizona Public Service Company,2021,February,6278.0,,
Arizona,Arizona Public Service Company,2021,March,3929.0,,
Arizona,Arizona Public Service Company,2021,April,3460.0,,
Arizona,Arizona Public Service Company,2021,May,960.0,,
Arizona,Arizona Public Service Company,2021,June,0.0,,
Arizona,Arizona Public Service Company,2021,July,0.0,,
Arizona,Arizona Public Service Company,2021,August,0.0,,
Arizona,Arizona Public Service Company,2021,September,0.0,,
Arizona,Arizona Public Service Company,2021,October,0.0,,
Arizona,Arizona Public Service Company,2021,November,625.0,,
Arizona,Arizona Public Service Company,2021,December,4598.0,,
Arizona,The Morenci Water and Electric Co.,2020,January,,,
Arizona,The Morenci Water and Electric Co.,2020,February,,,
Arizona,The Morenci Water and Electric Co.,2020,March,,,
Arizona,The Morenci Water and Electric Co.,2020,April,,,
Arizona,The Morenci Water and Electric Co.,2020,May,,,
Arizona,The Morenci Water and Electric Co.,2020,June,,,
Arizona,The Morenci Water and Electric Co.,2020,July,,,
Arizona,The Morenci Water and Electric Co.,2020,August,,,
Arizona,The Morenci Water and Electric Co.,2020,September,,,
