State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Municipal Utility,Electric,2010,January,779,419,24696,0.03154357
Alabama,City of Dothan,Municipal Utility,Electric,2010,February,584,337,24931,0.023424652
Alabama,City of Dothan,Municipal Utility,Electric,2010,March,1556,832,25002,0.062235021
Alabama,City of Dothan,Municipal Utility,Electric,2010,April,1422,815,24925,0.057051153
Alabama,City of Dothan,Municipal Utility,Electric,2010,May,993,555,24935,0.039823541
Alabama,City of Dothan,Municipal Utility,Electric,2010,June,712,602,25034,0.02844132
Alabama,City of Dothan,Municipal Utility,Electric,2010,July,1036,566,25051,0.041355635
Alabama,City of Dothan,Municipal Utility,Electric,2010,August,1673,930,24094,0.069436374
Alabama,City of Dothan,Municipal Utility,Electric,2010,September,1437,771,25203,0.057017022
Alabama,City of Dothan,Municipal Utility,Electric,2010,October,1519,845,25039,0.060665362
Alabama,City of Dothan,Municipal Utility,Electric,2010,November,954,502,24916,0.03828865
Alabama,City of Dothan,Municipal Utility,Electric,2010,December,479,220,23800,0.02012605
Alabama,City of Dothan,Municipal Utility,Electric,2011,January,828,377,26281,0.03150565
Alabama,City of Dothan,Municipal Utility,Electric,2011,February,1492,778,24753,0.060275522
Alabama,City of Dothan,Municipal Utility,Electric,2011,March,1592,855,25286,0.062959741
Alabama,City of Dothan,Municipal Utility,Electric,2011,April,1355,794,25042,0.054109097
Alabama,City of Dothan,Municipal Utility,Electric,2011,May,874,475,25078,0.034851264
Alabama,City of Dothan,Municipal Utility,Electric,2011,June,584,276,25361,0.023027483
Alabama,City of Dothan,Municipal Utility,Electric,2011,July,1003,580,25073,0.040003191
Alabama,City of Dothan,Municipal Utility,Electric,2011,August,1568,805,24984,0.062760167
Alabama,City of Dothan,Municipal Utility,Electric,2011,September,1546,725,25373,0.060930911
Alabama,City of Dothan,Municipal Utility,Electric,2011,October,1576,806,24942,0.063186593
Alabama,City of Dothan,Municipal Utility,Electric,2011,November,1059,504,25130,0.042140867
Alabama,City of Dothan,Municipal Utility,Electric,2011,December,870,428,24917,0.034915921
Alabama,City of Dothan,Municipal Utility,Electric,2012,January,1080,557,25127,0.042981653
Alabama,City of Dothan,Municipal Utility,Electric,2012,February,1180,533,24938,0.047317347
Alabama,City of Dothan,Municipal Utility,Electric,2012,March,952,421,25228,0.037735849
Alabama,City of Dothan,Municipal Utility,Electric,2012,April,1027,478,25011,0.041061933
Alabama,City of Dothan,Municipal Utility,Electric,2012,May,1027,477,25351,0.040511222
Alabama,City of Dothan,Municipal Utility,Electric,2012,June,947,484,25190,0.037594283
Alabama,City of Dothan,Municipal Utility,Electric,2012,July,1204,570,25199,0.047779674
Alabama,City of Dothan,Municipal Utility,Electric,2012,August,1707,827,25496,0.066951679
Alabama,City of Dothan,Municipal Utility,Electric,2012,September,1361,650,25193,0.054022943
Alabama,City of Dothan,Municipal Utility,Electric,2012,October,1467,743,25199,0.058216596
Alabama,City of Dothan,Municipal Utility,Electric,2012,November,988,500,25157,0.039273363
Alabama,City of Dothan,Municipal Utility,Electric,2012,December,824,426,24948,0.0330287
Alabama,City of Dothan,Municipal Utility,Electric,2013,January,1170,577,25303,0.046239576
Alabama,City of Dothan,Municipal Utility,Electric,2013,February,1318,659,24970,0.05278334
Alabama,City of Dothan,Municipal Utility,Electric,2013,March,998,510,25132,0.039710329
Alabama,City of Dothan,Municipal Utility,Electric,2013,April,1172,622,25147,0.046605957
Alabama,City of Dothan,Municipal Utility,Electric,2013,May,1068,567,25317,0.042185093
Alabama,City of Dothan,Municipal Utility,Electric,2013,June,973,470,25180,0.038641779
Alabama,City of Dothan,Municipal Utility,Electric,2013,July,1248,586,25354,0.049223002
Alabama,City of Dothan,Municipal Utility,Electric,2013,August,1285,668,25433,0.050524909
Alabama,City of Dothan,Municipal Utility,Electric,2013,September,1502,724,25384,0.059171131
Alabama,City of Dothan,Municipal Utility,Electric,2013,October,1454,763,25289,0.057495354
Alabama,City of Dothan,Municipal Utility,Electric,2013,November,1131,644,25273,0.044751316
Alabama,City of Dothan,Municipal Utility,Electric,2013,December,931,481,25375,0.036689655
Alabama,City of Dothan,Municipal Utility,Electric,2014,January,254,172,25333,0.010026448
Alabama,City of Dothan,Municipal Utility,Electric,2014,February,1772,999,25249,0.070180997
Alabama,City of Dothan,Municipal Utility,Electric,2014,March,1240,679,25793,0.048075059
Alabama,City of Dothan,Municipal Utility,Electric,2014,April,1438,704,25538,0.056308247
Alabama,City of Dothan,Municipal Utility,Electric,2014,May,998,500,25219,0.039573338
Alabama,City of Dothan,Municipal Utility,Electric,2014,June,1040,476,25446,0.040870864
Alabama,City of Dothan,Municipal Utility,Electric,2014,July,885,494,25570,0.034610872
Alabama,City of Dothan,Municipal Utility,Electric,2014,August,1462,760,25415,0.057525084
Alabama,City of Dothan,Municipal Utility,Electric,2014,September,1427,800,25348,0.056296355
Alabama,City of Dothan,Municipal Utility,Electric,2014,October,1326,768,25243,0.052529414
Alabama,City of Dothan,Municipal Utility,Electric,2014,November,858,447,24831,0.034553582
Alabama,City of Dothan,Municipal Utility,Electric,2014,December,643,445,25495,0.025220631
Alabama,City of Dothan,Municipal Utility,Electric,2015,January,1167,611,25270,0.046181243
Alabama,City of Dothan,Municipal Utility,Electric,2015,February,930,522,25198,0.036907691
Alabama,City of Dothan,Municipal Utility,Electric,2015,March,1152,663,25313,0.045510212
Alabama,City of Dothan,Municipal Utility,Electric,2015,April,1159,740,25243,0.045913719
Alabama,City of Dothan,Municipal Utility,Electric,2015,May,705,420,25224,0.027949572
Alabama,City of Dothan,Municipal Utility,Electric,2015,June,834,449,25398,0.032837231
Alabama,City of Dothan,Municipal Utility,Electric,2015,July,965,515,25393,0.038002599
Alabama,City of Dothan,Municipal Utility,Electric,2015,August,1247,755,25579,0.048750928
Alabama,City of Dothan,Municipal Utility,Electric,2015,September,1630,898,25587,0.063704225
Alabama,City of Dothan,Municipal Utility,Electric,2015,October,1359,704,25396,0.053512364
Alabama,City of Dothan,Municipal Utility,Electric,2015,November,895,540,25281,0.035402081
Alabama,City of Dothan,Municipal Utility,Electric,2015,December,871,482,25359,0.03434678
Alabama,City of Dothan,Municipal Utility,Electric,2016,January,774,422,25357,0.030524116
Alabama,City of Dothan,Municipal Utility,Electric,2016,February,924,488,25421,0.036347901
Alabama,City of Dothan,Municipal Utility,Electric,2016,March,1310,740,25563,0.051245941
Alabama,City of Dothan,Municipal Utility,Electric,2016,April,1074,607,25529,0.042069803
Alabama,City of Dothan,Municipal Utility,Electric,2016,May,596,294,25491,0.023380801
Alabama,City of Dothan,Municipal Utility,Electric,2016,June,886,460,25649,0.034543257
Alabama,City of Dothan,Municipal Utility,Electric,2016,July,1081,615,25627,0.042182074
Alabama,City of Dothan,Municipal Utility,Electric,2016,August,1064,566,25623,0.041525192
Alabama,City of Dothan,Municipal Utility,Electric,2016,September,1248,685,25773,0.048422768
Alabama,City of Dothan,Municipal Utility,Electric,2016,October,2043,1056,25511,0.080083101
Alabama,City of Dothan,Municipal Utility,Electric,2016,November,1984,1115,25380,0.078171789
Alabama,City of Dothan,Municipal Utility,Electric,2016,December,1357,776,25655,0.052894173
Alabama,City of Dothan,Municipal Utility,Electric,2017,January,1612,894,25554,0.063082101
Alabama,City of Dothan,Municipal Utility,Electric,2017,February,1816,1102,25561,0.071045734
Alabama,City of Dothan,Municipal Utility,Electric,2017,March,1453,844,25820,0.056274206
Alabama,City of Dothan,Municipal Utility,Electric,2017,April,1144,675,25576,0.044729434
Alabama,City of Dothan,Municipal Utility,Electric,2017,May,1127,558,25644,0.043947902
Alabama,City of Dothan,Municipal Utility,Electric,2017,June,1757,1179,25808,0.068079665
Alabama,City of Dothan,Municipal Utility,Electric,2017,July,2253,1275,25703,0.087655138
Alabama,City of Dothan,Municipal Utility,Electric,2017,August,3133,1833,25817,0.121354146
Alabama,City of Dothan,Municipal Utility,Electric,2017,September,2976,1981,25710,0.115752625
Alabama,City of Dothan,Municipal Utility,Electric,2017,October,2750,1780,25615,0.107358969
Alabama,City of Dothan,Municipal Utility,Electric,2017,November,2191,1401,25499,0.085924938
Alabama,City of Dothan,Municipal Utility,Electric,2017,December,1824,1082,25450,0.071669941
Alabama,City of Dothan,Municipal Utility,Electric,2018,January,1565,932,25721,0.060845224
