State,Year,Month,Number of Disconnections,Disconnection Rate,code
Alabama,2010,April,1422.0,0.057051153,AL
Alabama,2010,August,1673.0,0.069436374,AL
Alabama,2010,December,479.0,0.02012605,AL
Alabama,2010,February,584.0,0.023424652,AL
Alabama,2010,January,779.0,0.03154357,AL
Alabama,2010,July,1036.0,0.041355635,AL
Alabama,2010,June,712.0,0.02844132,AL
Alabama,2010,March,1556.0,0.062235021,AL
Alabama,2010,May,993.0,0.039823541,AL
Alabama,2010,November,954.0,0.03828865,AL
Alabama,2010,October,1519.0,0.060665362,AL
Alabama,2010,September,1437.0,0.057017022,AL
Alabama,2011,April,1355.0,0.054109097,AL
Alabama,2011,August,1568.0,0.062760167,AL
Alabama,2011,December,870.0,0.034915921,AL
Alabama,2011,February,1492.0,0.060275522,AL
Alabama,2011,January,828.0,0.03150565,AL
Alabama,2011,July,1003.0,0.040003191,AL
Alabama,2011,June,584.0,0.023027483,AL
Alabama,2011,March,1592.0,0.062959741,AL
Alabama,2011,May,874.0,0.034851264,AL
Alabama,2011,November,1059.0,0.042140867,AL
Alabama,2011,October,1576.0,0.063186593,AL
Alabama,2011,September,1546.0,0.060930911,AL
Alabama,2012,April,1027.0,0.041061933,AL
Alabama,2012,August,1707.0,0.066951679,AL
Alabama,2012,December,824.0,0.0330287,AL
Alabama,2012,February,1180.0,0.047317347,AL
Alabama,2012,January,1080.0,0.042981653,AL
Alabama,2012,July,1204.0,0.047779674,AL
Alabama,2012,June,947.0,0.037594283,AL
Alabama,2012,March,952.0,0.037735849,AL
Alabama,2012,May,1027.0,0.040511222,AL
Alabama,2012,November,988.0,0.039273363,AL
Alabama,2012,October,1467.0,0.058216596,AL
Alabama,2012,September,1361.0,0.054022943,AL
Alabama,2013,April,1172.0,0.046605957,AL
Alabama,2013,August,1285.0,0.050524909,AL
Alabama,2013,December,931.0,0.036689655,AL
Alabama,2013,February,1318.0,0.05278334,AL
Alabama,2013,January,1170.0,0.046239576,AL
Alabama,2013,July,1248.0,0.049223002,AL
Alabama,2013,June,973.0,0.038641779,AL
Alabama,2013,March,998.0,0.039710329,AL
Alabama,2013,May,1068.0,0.042185093,AL
Alabama,2013,November,1131.0,0.044751316,AL
Alabama,2013,October,1454.0,0.057495354,AL
Alabama,2013,September,1502.0,0.059171131,AL
Alabama,2014,April,1438.0,0.056308247,AL
Alabama,2014,August,1462.0,0.057525084,AL
Alabama,2014,December,643.0,0.025220631,AL
Alabama,2014,February,1772.0,0.070180997,AL
Alabama,2014,January,254.0,0.010026448,AL
Alabama,2014,July,885.0,0.034610872,AL
Alabama,2014,June,1040.0,0.040870864,AL
Alabama,2014,March,1240.0,0.048075059,AL
Alabama,2014,May,998.0,0.039573338,AL
Alabama,2014,November,858.0,0.034553582,AL
Alabama,2014,October,1326.0,0.052529414,AL
Alabama,2014,September,1427.0,0.056296355,AL
Alabama,2015,April,1159.0,0.045913719,AL
Alabama,2015,August,1247.0,0.048750928,AL
