State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Arizona,January,2020,614,4903185,0.0001
California,January,2020,9551,39512223,0.0002
Colorado,January,2020,2092,5758736,0.0004
Connecticut,January,2020,5359,3565287,0.0015
Florida,January,2020,105435,21477737,0.0049
Georgia,January,2020,0,10617423,0.0000
Illinois,January,2020,0,12671821,0.0000
Indiana,January,2020,14176,6732219,0.0021
Iowa,January,2020,960,3155070,0.0003
Kentucky,January,2020,13450,4467673,0.0030
Maine,January,2020,1,1344212,0.0000
Maryland,January,2020,6586,6045680,0.0011
Massachusetts,January,2020,1516,6892503,0.0002
Michigan,January,2020,0,9986857,0.0000
Minnesota,January,2020,1314,5639632,0.0002
Missouri,January,2020,2117,6137428,0.0003
New Hampshire,January,2020,94,1359711,0.0001
New Mexico,January,2020,0,2096829,0.0000
New York,January,2020,10428,19453561,0.0005
North Carolina,January,2020,19884,10488084,0.0019
North Dakota,January,2020,284,762062,0.0004
Ohio,January,2020,0,11689100,0.0000
Oregon,January,2020,1401,4217737,0.0003
Pennsylvania,January,2020,20,12801989,0.0000
Rhode Island,January,2020,0,1059361,0.0000
South Carolina,January,2020,3940,5148714,0.0008
South Dakota,January,2020,0,884659,0.0000
Utah,January,2020,243,3205958,0.0001
Vermont,January,2020,206,623989,0.0003
Washington,January,2020,255,7614893,0.0000
Washington D.C.,January,2020,465,705749,0.0007
Wisconsin,January,2020,0,5822434,0.0000
Arizona,February,2020,0,4903185,0.0000
California,February,2020,10428,39512223,0.0003
Colorado,February,2020,640,5758736,0.0001
Connecticut,February,2020,5502,3565287,0.0015
Florida,February,2020,85918,21477737,0.0040
Georgia,February,2020,0,10617423,0.0000
Illinois,February,2020,0,12671821,0.0000
Indiana,February,2020,10779,6732219,0.0016
Iowa,February,2020,493,3155070,0.0002
Kentucky,February,2020,13482,4467673,0.0030
Maine,February,2020,0,1344212,0.0000
Maryland,February,2020,5831,6045680,0.0010
Massachusetts,February,2020,1730,6892503,0.0003
Michigan,February,2020,0,9986857,0.0000
Minnesota,February,2020,1273,5639632,0.0002
Missouri,February,2020,2785,6137428,0.0005
New Hampshire,February,2020,122,1359711,0.0001
New Mexico,February,2020,0,2096829,0.0000
New York,February,2020,11347,19453561,0.0006
North Carolina,February,2020,20110,10488084,0.0019
North Dakota,February,2020,237,762062,0.0003
Ohio,February,2020,0,11689100,0.0000
Oregon,February,2020,1213,4217737,0.0003
Pennsylvania,February,2020,39,12801989,0.0000
Rhode Island,February,2020,8,1059361,0.0000
South Carolina,February,2020,3986,5148714,0.0008
South Dakota,February,2020,0,884659,0.0000
Utah,February,2020,197,3205958,0.0001
Vermont,February,2020,237,623989,0.0004
Washington,February,2020,91,7614893,0.0000
Washington D.C.,February,2020,2144,705749,0.0030
Wisconsin,February,2020,0,5822434,0.0000
Arizona,March,2020,0,4903185,0.0000
California,March,2020,4194,39512223,0.0001
Colorado,March,2020,842,5758736,0.0001
Connecticut,March,2020,6994,3565287,0.0020
Florida,March,2020,41427,21477737,0.0019
Georgia,March,2020,0,10617423,0.0000
Illinois,March,2020,0,12671821,0.0000
Indiana,March,2020,7821,6732219,0.0012
Iowa,March,2020,1051,3155070,0.0003
Kentucky,March,2020,6214,4467673,0.0014
Maine,March,2020,0,1344212,0.0000
Maryland,March,2020,4112,6045680,0.0007
Massachusetts,March,2020,811,6892503,0.0001
Michigan,March,2020,0,9986857,0.0000
Minnesota,March,2020,752,5639632,0.0001
Missouri,March,2020,4171,6137428,0.0007
New Hampshire,March,2020,77,1359711,0.0001
New Mexico,March,2020,0,2096829,0.0000
New York,March,2020,6131,19453561,0.0003
North Carolina,March,2020,10011,10488084,0.0010
North Dakota,March,2020,127,762062,0.0002
Ohio,March,2020,0,11689100,0.0000
Oregon,March,2020,496,4217737,0.0001
Pennsylvania,March,2020,0,12801989,0.0000
Rhode Island,March,2020,7,1059361,0.0000
South Carolina,March,2020,7594,5148714,0.0015
South Dakota,March,2020,0,884659,0.0000
Utah,March,2020,99,3205958,0.0000
Vermont,March,2020,141,623989,0.0002
Washington,March,2020,793,7614893,0.0001
Washington D.C.,March,2020,1133,705749,0.0016
Wisconsin,March,2020,0,5822434,0.0000
Arizona,April,2020,0,4903185,0.0000
California,April,2020,0,39512223,0.0000
Colorado,April,2020,0,5758736,0.0000
Connecticut,April,2020,7,3565287,0.0000
Florida,April,2020,0,21477737,0.0000
Georgia,April,2020,0,10617423,0.0000
Illinois,April,2020,0,12671821,0.0000
Indiana,April,2020,0,6732219,0.0000
Iowa,April,2020,0,3155070,0.0000
Kentucky,April,2020,0,4467673,0.0000
Maine,April,2020,0,1344212,0.0000
Maryland,April,2020,0,6045680,0.0000
Massachusetts,April,2020,0,6892503,0.0000
Michigan,April,2020,3489,9986857,0.0003
Minnesota,April,2020,0,5639632,0.0000
Missouri,April,2020,0,6137428,0.0000
New Hampshire,April,2020,0,1359711,0.0000
New Mexico,April,2020,0,2096829,0.0000
New York,April,2020,0,19453561,0.0000
North Carolina,April,2020,0,10488084,0.0000
North Dakota,April,2020,0,762062,0.0000
