,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
0,Arizona,January,2020,614,4903185,0.0001,AZ
1,California,January,2020,9551,39512223,0.0002,CA
2,Colorado,January,2020,2092,5758736,0.0004,CO
3,Connecticut,January,2020,5359,3565287,0.0015,CT
4,Florida,January,2020,105435,21477737,0.0049,FL
5,Georgia,January,2020,0,10617423,0,GA
6,Illinois,January,2020,0,12671821,0,IL
7,Indiana,January,2020,14176,6732219,0.0021,IN
8,Iowa,January,2020,960,3155070,0.0003,IA
9,Kentucky,January,2020,13450,4467673,0.003,KY
10,Maine,January,2020,1,1344212,0,ME
11,Maryland,January,2020,6586,6045680,0.0011,MD
12,Massachusetts,January,2020,1516,6892503,0.0002,MA
13,Michigan,January,2020,0,9986857,0,MI
14,Minnesota,January,2020,1314,5639632,0.0002,MN
15,Missouri,January,2020,2117,6137428,0.0003,MO
16,New Hampshire,January,2020,94,1359711,0.0001,NH
17,New Mexico,January,2020,0,2096829,0,NM
18,New York,January,2020,10428,19453561,0.0005,NY
19,North Carolina,January,2020,19884,10488084,0.0019,NC
20,North Dakota,January,2020,284,762062,0.0004,ND
21,Ohio,January,2020,0,11689100,0,OH
22,Oregon,January,2020,1401,4217737,0.0003,OR
23,Pennsylvania,January,2020,20,12801989,0,PA
24,Rhode Island,January,2020,0,1059361,0,RI
25,South Carolina,January,2020,3940,5148714,0.0008,SC
26,South Dakota,January,2020,0,884659,0,SD
27,Utah,January,2020,243,3205958,0.0001,UT
28,Vermont,January,2020,206,623989,0.0003,VT
29,Washington,January,2020,255,7614893,0,WA
30,Washington D.C.,January,2020,465,705749,0.0007,WA
31,Wisconsin,January,2020,0,5822434,0,WI
32,Arizona,February,2020,0,4903185,0,AZ
33,California,February,2020,10428,39512223,0.0003,CA
34,Colorado,February,2020,640,5758736,0.0001,CO
35,Connecticut,February,2020,5502,3565287,0.0015,CT
36,Florida,February,2020,85918,21477737,0.004,FL
37,Georgia,February,2020,0,10617423,0,GA
38,Illinois,February,2020,0,12671821,0,IL
39,Indiana,February,2020,10779,6732219,0.0016,IN
40,Iowa,February,2020,493,3155070,0.0002,IA
41,Kentucky,February,2020,13482,4467673,0.003,KY
42,Maine,February,2020,0,1344212,0,ME
43,Maryland,February,2020,5831,6045680,0.001,MD
44,Massachusetts,February,2020,1730,6892503,0.0003,MA
45,Michigan,February,2020,0,9986857,0,MI
