State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
Arizona,April,2020,0.0,300000.0,0.0
Arizona,April,2021,7366.0,500000.0,0.07366
Arizona,August,2020,0.0,300000.0,0.0
Arizona,August,2021,0.0,500000.0,0.0
Arizona,December,2020,0.0,300000.0,0.0
Arizona,December,2021,6845.0,500000.0,0.06845
Arizona,February,2021,6287.0,500000.0,0.06287000000000001
Arizona,January,2020,614.0,100000.0,0.00614
Arizona,January,2021,2.0,500000.0,2e-05
Arizona,July,2020,0.0,300000.0,0.0
Arizona,July,2021,0.0,500000.0,0.0
Arizona,June,2020,0.0,300000.0,0.0
Arizona,June,2021,0.0,500000.0,0.0
Arizona,March,2020,0.0,300000.0,0.0
Arizona,March,2021,6574.0,500000.0,0.06573999999999999
Arizona,May,2020,0.0,300000.0,0.0
Arizona,May,2021,3029.0,500000.0,0.030289999999999997
Arizona,November,2020,0.0,300000.0,0.0
Arizona,November,2021,634.0,500000.0,0.00634
Arizona,October,2020,0.0,300000.0,0.0
Arizona,October,2021,12.0,500000.0,0.00011999999999999999
Arizona,September,2020,0.0,300000.0,0.0
Arizona,September,2021,0.0,500000.0,0.0
California,April,2019,78523.0,17039572.0,1.803748011853441
California,April,2020,0.0,17560059.0,0.0
California,April,2021,0.0,16043776.0,0.0
California,April,2022,0.0,17118069.0,0.0
California,August,2018,63050.0,9946519.0,1.3088820902303842
California,August,2019,59737.0,17111561.0,1.379024032094951
California,August,2020,0.0,17612940.0,0.0
California,August,2021,0.0,17400341.0,0.0
California,December,2018,48018.0,16952045.0,1.185333826661778
California,December,2019,51384.0,17111375.0,1.2385990176006836
California,December,2020,0.0,17621808.0,0.0
California,December,2021,0.0,17446368.0,0.0
California,February,2019,53607.0,17000145.0,1.2751781818621641
California,February,2020,81597.0,17548037.0,1.647718272946318
California,February,2021,0.0,17474227.0,0.0
California,February,2022,0.0,17105373.0,0.0
California,January,2019,47498.0,16987333.0,1.195321698180734
California,January,2020,67659.0,17534015.0,1.36757246628654
California,January,2021,0.0,17467791.0,0.0
California,January,2022,0.0,17093390.0,0.0
California,July,2019,53685.0,17095418.0,1.254017996679494
California,July,2020,0.0,17611423.0,0.0
California,July,2021,0.0,17393905.0,0.0
California,June,2019,49381.0,17067004.0,1.1868848780193242
California,June,2020,0.0,17595763.0,0.0
California,June,2021,0.0,17383540.0,0.0
California,March,2019,78787.0,17017169.0,1.784792976142914
California,March,2020,36054.0,17576271.0,0.7352078213464542
California,March,2021,0.0,17488399.0,0.0
California,March,2022,0.0,17111669.0,0.0
California,May,2019,81528.0,17055342.0,1.8356111481580342
California,May,2020,0.0,17570729.0,0.0
California,May,2021,0.0,17384381.0,0.0
California,May,2022,0.0,17133276.0,0.0
California,November,2018,62558.0,16952338.0,1.538758217509548
California,November,2019,57416.0,17099455.0,1.3990891453174268
California,November,2020,0.0,17597327.0,0.0
California,November,2021,0.0,17425186.0,0.0
California,October,2018,92888.0,16946648.0,2.159415863572544
California,October,2019,74338.0,17104339.0,1.684560676836472
California,October,2020,0.0,17602416.0,0.0
California,October,2021,0.0,17424923.0,0.0
California,September,2018,62255.0,9946123.0,1.3100380915225591
California,September,2019,69332.0,17088900.0,1.5745154869254319
California,September,2020,0.0,17601855.0,0.0
California,September,2021,0.0,17409899.0,0.0
Colorado,April,2020,1.0,500000.0,1e-05
Colorado,April,2021,1624.0,500000.0,0.016239999999999997
Colorado,August,2020,2.0,500000.0,2e-05
Colorado,August,2021,1135.0,500000.0,0.01135
Colorado,December,2020,455.0,500000.0,0.004549999999999999
Colorado,December,2021,675.0,300000.0,0.006749999999999999
Colorado,February,2020,797.0,500000.0,0.007970000000000001
Colorado,February,2021,863.0,500000.0,0.00863
Colorado,January,2020,2550.0,500000.0,0.025500000000000002
Colorado,January,2021,727.0,500000.0,0.0072699999999999996
Colorado,July,2020,2.0,500000.0,2e-05
Colorado,July,2021,1317.0,500000.0,0.01317
Colorado,June,2020,0.0,500000.0,0.0
Colorado,June,2021,1442.0,500000.0,0.01442
Colorado,March,2020,929.0,500000.0,0.00929
Colorado,March,2021,1154.0,500000.0,0.01154
Colorado,May,2020,1.0,500000.0,1e-05
Colorado,May,2021,1067.0,500000.0,0.01067
Colorado,November,2020,762.0,500000.0,0.007619999999999999
Colorado,November,2021,1297.0,500000.0,0.01297
Colorado,October,2020,1497.0,500000.0,0.014969999999999999
Colorado,October,2021,1190.0,500000.0,0.0119
Colorado,September,2020,456.0,500000.0,0.004560000000000001
Colorado,September,2021,1259.0,500000.0,0.01259
Connecticut,April,2020,7.0,500000.0,7e-05
Connecticut,April,2021,0.0,500000.0,0.0
Connecticut,August,2020,1.0,500000.0,1e-05
Connecticut,August,2021,2.0,500000.0,2e-05
Connecticut,December,2020,0.0,500000.0,0.0
Connecticut,December,2021,7699.0,500000.0,0.07699
Connecticut,February,2020,8874.0,300000.0,0.08874
Connecticut,February,2021,0.0,500000.0,0.0
Connecticut,January,2020,7343.0,300000.0,0.07343
Connecticut,January,2021,0.0,500000.0,0.0
Connecticut,July,2020,0.0,500000.0,0.0
Connecticut,July,2021,0.0,500000.0,0.0
Connecticut,June,2020,0.0,500000.0,0.0
Connecticut,June,2021,0.0,500000.0,0.0
Connecticut,March,2020,9165.0,500000.0,0.09165000000000001
Connecticut,March,2021,0.0,500000.0,0.0
Connecticut,May,2020,0.0,500000.0,0.0
Connecticut,May,2021,0.0,500000.0,0.0
Connecticut,November,2020,0.0,500000.0,0.0
Connecticut,November,2021,4505.0,500000.0,0.04505
Connecticut,October,2020,0.0,500000.0,0.0
Connecticut,October,2021,245.0,500000.0,0.00245
Connecticut,September,2020,0.0,300000.0,0.0
Connecticut,September,2021,2.0,500000.0,2e-05
Florida,April,2020,0.0,600000.0,0.0
Florida,April,2021,86359.0,700000.0,0.8635900000000002
Florida,August,2020,0.0,700000.0,0.0
Florida,August,2021,122481.0,700000.0,1.2248100000000002
Florida,December,2020,121280.0,700000.0,1.2127999999999999
Florida,February,2020,87773.0,700000.0,0.87773
Florida,February,2021,88402.0,700000.0,0.88402
Florida,January,2020,107030.0,700000.0,1.0703
Florida,January,2021,95513.0,700000.0,0.9551299999999999
Florida,July,2020,0.0,600000.0,0.0
Florida,July,2021,108058.0,700000.0,1.0805799999999999
Florida,June,2020,0.0,600000.0,0.0
Florida,June,2021,108253.0,700000.0,1.0825299999999998
Florida,March,2020,42225.0,700000.0,0.42224999999999996
Florida,March,2021,91464.0,700000.0,0.9146400000000001
Florida,May,2020,0.0,600000.0,0.0
Florida,May,2021,89887.0,700000.0,0.89887
Florida,November,2020,104562.0,700000.0,1.0456200000000002
Florida,October,2020,103268.0,700000.0,1.03268
Florida,September,2020,5315.0,700000.0,0.05315
Florida,September,2021,133460.0,700000.0,1.3345999999999996
Georgia,April,2020,0.0,100000.0,0.0
Georgia,June,2020,0.0,100000.0,0.0
Georgia,May,2020,0.0,100000.0,0.0
Illinois,April,2020,0.0,300000.0,0.0
Illinois,April,2021,17242.0,300000.0,0.17242
