State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Arizona,Arizona Public Service Company,2020,January,614,100000,0.00614
California,Southern California Gas Company,2020,January,5743,100000,0.05743
California,Southern California Edison Company,2020,January,3829,100000,0.03829
California,Pacific Gas and Electric Company,2020,January,4775,100000,0.04775
California,San Diego Gas & Electric,2020,January,947,100000,0.00947
Colorado,"Black Hills Colorado Electric, LLC",2020,January,569,100000,0.00569
Colorado,"Black Hills Colorado Gas, Inc",2020,January,0,100000,0
Colorado,Public Service Company of Colorado,2020,January,1261,100000,0.01261
Colorado,Public Service Company of Colorado,2020,January,458,100000,0.00458
Colorado,Atmos Energy,2020,January,262,100000,0.00262
Connecticut,Connecticut Natural Gas Corporation,2020,January,579,100000,0.00579
Connecticut,The Southern Connecticut Gas Company,2020,January,1405,100000,0.01405
Connecticut,The United Illuminating Company,2020,January,5359,100000,0.05359
Florida,Florida City Gas,2020,January,290,100000,0.0029
Florida,Florida Power & Light Company,2020,January,82462,100000,0.82462
Florida,Duke Energy,2020,January,10252,100000,0.10252
Florida,Gulf Power,2020,January,1534,100000,0.01534
Florida,Florida Public Utilities,2020,January,260,100000,0.0026
Florida,Tampa Electric Company,2020,January,10927,100000,0.10927
Florida,Peoples Gas System's,2020,January,1305,100000,0.01305
Illinois,Ameren Illinois,2020,January,0,100000,0
Illinois,MidAmerican Energy Company,2020,January,0,100000,0
Illinois,Commonwealth Edison,2020,January,0,100000,0
Indiana,Vectren North,2020,January,2623,100000,0.02623
Indiana,Vectren South,2020,January,852,100000,0.00852
Indiana,"Duke Energy Indiana, LLC",2020,January,3631,100000,0.03631
Indiana,Indiana Michigan Power Company,2020,January,2774,100000,0.02774
Indiana,Indianapolis Power & Light Company,2020,January,5354,100000,0.05354
Indiana,Northern Indiana Public Service Company,2020,January,1565,100000,0.01565
Iowa,MidAmerican Energy Company,2020,January,677,100000,0.00677
Iowa,MidAmerican Energy Company,2020,January,95,100000,0.00095
Iowa,Interstate Power and Light,2020,January,283,100000,0.00283
Iowa,Interstate Power and Light,2020,January,16,100000,0.00016
Iowa,Black Hills Energy,2020,January,55,100000,0.00055
Iowa,Liberty Utilities,2020,January,2,100000,2e-05
Kansas,Atmos Energy Corporation,2020,January,0,100000,0
Maryland,A&N Electric Cooperatve,2020,January,0,100000,0
Maryland,Baltimore Gas and Electric Company,2020,January,3452,100000,0.03452
Maryland,Delmarva Power,2020,January,421,100000,0.00421
Maryland,Pepco Holdings Inc,2020,January,2470,100000,0.0247
Maryland,Potomac Edison,2020,January,36,100000,0.00036
Maryland,UGI Central Penn Gas,2020,January,0,100000,0
Maryland,Washington Gas Light Company,2020,January,215,100000,0.00215
Maryland,Columbia Gas Of Maryland,2020,January,2,100000,2e-05
Maryland,Choptank Electric Coop,2020,January,207,100000,0.00207
Massachusetts,Nstar Electric Company - Eastern MA,2020,January,893,100000,0.00893
Massachusetts,Nstar Electric Company - Western MA,2020,January,605,100000,0.00605
Massachusetts,Nstar Gas Company,2020,January,0,100000,0
Massachusetts,Eversource Gas of Massachusetts,2020,January,16,100000,0.00016
Massachusetts,New England Natural Gas Company,2020,January,4,100000,4e-05
Massachusetts,Fitchburg Gas & Electric Light Company,2020,January,51,100000,0.00051
Massachusetts,Fitchburg Gas & Electric Light Company,2020,January,18,100000,0.00018
Massachusetts,Massachusetts Electric Company,2020,January,0,100000,0
Massachusetts,Boston Gas Company,2020,January,179,100000,0.00179
Massachusetts,Nantucket Electric Company,2020,January,0,100000,0
Massachusetts,Colonial Gas Co,2020,January,22,100000,0.00022
Massachusetts,Berkshire Gas Company,2020,January,3,100000,3e-05
Minnesota,Northern States Power Company,2020,January,1118,100000,0.01118
Minnesota,Minnesota Energy Resources,2020,January,116,100000,0.00116
Minnesota,Otter Tail Power Company,2020,January,13,100000,0.00013
Minnesota,Minnesota Power,2020,January,55,100000,0.00055
Minnesota,Dakota Electric Association,2020,January,12,100000,0.00012
Minnesota,CenterPoint Energy,2020,January,315,100000,0.00315
Missouri,Ameren Missouri,2020,January,1941,100000,0.01941
Missouri,Ameren Missouri,2020,January,41,100000,0.00041
Missouri,Empire,2020,January,20,100000,2e-04
Missouri,Empire,2020,January,1,100000,1e-05
Missouri,Evergy Metro,2020,January,97,100000,0.00097
Missouri,Evergy West,2020,January,59,100000,0.00059
Missouri,Spire,2020,January,1249,100000,0.01249
Missouri,Summit,2020,January,40,100000,4e-04
Missouri,Liberty,2020,January,193,100000,0.00193
New Hampshire,Northern Utilities,2020,January,1,100000,1e-05
New Hampshire,Granite State Electric,2020,January,2,100000,2e-05
New Hampshire,Eversource New Hampshire,2020,January,89,100000,0.00089
New Hampshire,Unitil Energy Systems,2020,January,3,100000,3e-05
New Hampshire,EnergyNorth Natural Gas,2020,January,6,100000,6e-05
New York,National Fuel Gas Distribution Corporation,2020,January,0,100000,0
New York,Orange and Rockland Utilities,2020,January,365,100000,0.00365
New York,Niagara Mohawk Power Corp,2020,January,2,100000,2e-05
New York,KeySpan Energy Delivery Long Island (KEDLI),2020,January,0,100000,0
New York,KeySpan Energy Delivery New York (KEDNY),2020,January,1110,100000,0.0111
New York,Consolidated Edison Company of New York,2020,January,8150,100000,0.0815
New York,Rochester Gas and Electric Corporation,2020,January,625,100000,0.00625
New York,New York State Electric & Gas Corporation,2020,January,950,100000,0.0095
New York,Central Hudson Gas & Electric Corporation,2020,January,336,100000,0.00336
North Carolina,"Duke Energy Progress, LLC",2020,January,8260,100000,0.0826
North Carolina,"Duke Energy Carolinas, LLC",2020,January,11276,100000,0.11276
North Carolina,Dominion Energy North Carolina,2020,January,331,100000,0.00331
North Carolina,"Piedmont Natural Gas Company, Inc",2020,January,1043,100000,0.01043
North Carolina,Toccoa Natural Gas,2020,January,0,100000,0
North Carolina,Frontier Natural Gas,2020,January,2,100000,2e-05
North Carolina,New River Light & Power Company,2020,January,17,100000,0.00017
North Dakota,Montana-Dakota Utilities Company,2020,January,129,100000,0.00129
North Dakota,Northern States Power Company,2020,January,101,100000,0.00101
North Dakota,Otter Tail Power Company,2020,January,54,100000,0.00054
North Dakota,Great Plains Natural Gas Co.,2020,January,2,100000,2e-05
Oregon,Pacific Power,2020,January,676,100000,0.00676
Oregon,Portland General Electric Company,2020,January,704,100000,0.00704
Oregon,Idaho Power Company,2020,January,21,100000,0.00021
Oregon,Casade Natural Gas Corporation,2020,January,10,100000,1e-04
Oregon,Avista Corporation,2020,January,93,100000,0.00093
Oregon,Northwest Natural Gas Company,2020,January,643,100000,0.00643
Pennsylvania,PECO Energy Co,2020,January,20,100000,2e-04
Pennsylvania,Peoples Natural Gas Company,2020,January,0,100000,0
Pennsylvania,Peoples Gas Company LLC,2020,January,0,100000,0
Rhode Island,The Narragansett Electric Company,2020,January,0,100000,0
Rhode Island,The Narragansett Electric Company,2020,January,0,100000,0
South Carolina,Lockhart Power Co,2020,January,58,100000,0.00058
South Carolina,"Duke Energy Progress, LLC",2020,January,1763,100000,0.01763
South Carolina,"Piedmont Natural Gas Company, Inc",2020,January,308,100000,0.00308
South Carolina,Dominion Energy,2020,January,2119,100000,0.02119
Utah,Rocky Mountain Power,2020,January,243,100000,0.00243
Vermont,Green Mountain Power,2020,January,130,100000,0.0013
Vermont,Vermont Electric Cooperative,2020,January,44,100000,0.00044
Vermont,Swanton Village,2020,January,2,100000,2e-05
Vermont,Village of Morrisville Water & Light Department,2020,January,6,100000,6e-05
Vermont,Burlington Electric,2020,January,9,100000,9e-05
Vermont,Village of Johnson Water & Light,2020,January,0,100000,0
Vermont,Washington Electric Cooperative,2020,January,0,100000,0
Vermont,Village of Enosburg Falls Water & Lighter Dept Inc,2020,January,14,100000,0.00014
Vermont,Northfield Electric Department,2020,January,1,100000,1e-05
"Washington, D.C.",Potomac Electric Power Company,2020,January,416,100000,0.00416
