State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Arizona,April,2020,0,300000,0.00000,AZ
Arizona,April,2021,7366,500000,0.07366,AZ
Arizona,August,2020,0,300000,0.00000,AZ
Arizona,August,2021,0,500000,0.00000,AZ
Arizona,December,2020,0,300000,0.00000,AZ
Arizona,December,2021,6845,500000,0.06845,AZ
Arizona,February,2021,6287,500000,0.06287,AZ
Arizona,January,2020,614,100000,0.00614,AZ
Arizona,January,2021,2,500000,0.00002,AZ
Arizona,July,2020,0,300000,0.00000,AZ
Arizona,July,2021,0,500000,0.00000,AZ
Arizona,June,2020,0,300000,0.00000,AZ
Arizona,June,2021,0,500000,0.00000,AZ
Arizona,March,2020,0,300000,0.00000,AZ
Arizona,March,2021,6574,500000,0.06574,AZ
Arizona,May,2020,0,300000,0.00000,AZ
Arizona,May,2021,3029,500000,0.03029,AZ
Arizona,November,2020,0,300000,0.00000,AZ
Arizona,November,2021,634,500000,0.00634,AZ
Arizona,October,2020,0,300000,0.00000,AZ
Arizona,October,2021,12,500000,0.00012,AZ
Arizona,September,2020,0,300000,0.00000,AZ
Arizona,September,2021,0,500000,0.00000,AZ
California,April,2019,78523,17039572,1.80375,CA
California,April,2020,0,17560059,0.00000,CA
California,April,2021,0,16043776,0.00000,CA
California,April,2022,0,17118069,0.00000,CA
California,August,2018,63050,9946519,1.30888,CA
California,August,2019,59737,17111561,1.37902,CA
California,August,2020,0,17612940,0.00000,CA
California,August,2021,0,17400341,0.00000,CA
California,December,2018,48018,16952045,1.18533,CA
California,December,2019,51384,17111375,1.23860,CA
California,December,2020,0,17621808,0.00000,CA
California,December,2021,0,17446368,0.00000,CA
California,February,2019,53607,17000145,1.27518,CA
California,February,2020,81597,17548037,1.64772,CA
California,February,2021,0,17474227,0.00000,CA
California,February,2022,0,17105373,0.00000,CA
California,January,2019,47498,16987333,1.19532,CA
California,January,2020,67659,17534015,1.36757,CA
California,January,2021,0,17467791,0.00000,CA
California,January,2022,0,17093390,0.00000,CA
California,July,2019,53685,17095418,1.25402,CA
California,July,2020,0,17611423,0.00000,CA
California,July,2021,0,17393905,0.00000,CA
California,June,2019,49381,17067004,1.18688,CA
California,June,2020,0,17595763,0.00000,CA
