State,Year,Month,Number of Disconnections,Total Connections,Disconnection Rate,code
Arizona,2020,April,0.0,,,AZ
Arizona,2020,August,0.0,,,AZ
Arizona,2020,December,0.0,,,AZ
Arizona,2020,February,0.0,,,AZ
Arizona,2020,January,614.0,,,AZ
Arizona,2020,July,0.0,,,AZ
Arizona,2020,June,0.0,,,AZ
Arizona,2020,March,0.0,,,AZ
Arizona,2020,May,0.0,,,AZ
Arizona,2020,November,0.0,,,AZ
Arizona,2020,October,0.0,,,AZ
Arizona,2020,September,0.0,,,AZ
Arizona,2021,April,7366.0,,,AZ
Arizona,2021,August,0.0,,,AZ
Arizona,2021,December,6845.0,,,AZ
Arizona,2021,February,6287.0,,,AZ
Arizona,2021,January,2.0,,,AZ
Arizona,2021,July,0.0,,,AZ
Arizona,2021,June,0.0,,,AZ
Arizona,2021,March,6574.0,,,AZ
Arizona,2021,May,3029.0,,,AZ
Arizona,2021,November,634.0,,,AZ
Arizona,2021,October,12.0,,,AZ
Arizona,2021,September,0.0,,,AZ
California,2018,August,63050.0,9946519.0,0.006338901076849097,CA
California,2018,December,48018.0,16952045.0,0.002832578606297942,CA
California,2018,November,62558.0,16952338.0,0.003690228451084446,CA
California,2018,October,92888.0,16946648.0,0.005481201946249193,CA
California,2018,September,62255.0,9946123.0,0.006259222814759077,CA
California,2019,April,78523.0,17039572.0,0.004608273024698038,CA
California,2019,August,59737.0,17111561.0,0.0034910315896954113,CA
California,2019,December,51384.0,17111375.0,0.003002914727776114,CA
California,2019,February,53607.0,17000145.0,0.003153326045160203,CA
California,2019,January,47498.0,16987333.0,0.002796083411092253,CA
California,2019,July,53685.0,17095418.0,0.003140315141753188,CA
California,2019,June,49381.0,17067004.0,0.0028933607796658395,CA
California,2019,March,78787.0,17017169.0,0.004629853532041669,CA
California,2019,May,81528.0,17055342.0,0.004780203176224787,CA
California,2019,November,57416.0,17099455.0,0.0033577678352906567,CA
California,2019,October,74338.0,17104339.0,0.004346148658536293,CA
California,2019,September,69332.0,17088900.0,0.0040571365038124165,CA
California,2020,April,0.0,17160059.0,0.0,CA
California,2020,August,0.0,17212940.0,0.0,CA
California,2020,December,0.0,17221808.0,0.0,CA
California,2020,February,64234.0,17148037.0,0.0037458514930892675,CA
California,2020,January,52365.0,17134015.0,0.0030562013631947912,CA
California,2020,July,0.0,17211423.0,0.0,CA
California,2020,June,0.0,17195763.0,0.0,CA
California,2020,March,28415.0,17176271.0,0.0016543171681443545,CA
California,2020,May,0.0,17170729.0,0.0,CA
California,2020,November,0.0,17197327.0,0.0,CA
California,2020,October,0.0,17202416.0,0.0,CA
California,2020,September,0.0,17201855.0,0.0,CA
California,2021,April,0.0,15643776.0,0.0,CA
California,2021,August,0.0,17000341.0,0.0,CA
California,2021,December,0.0,17046368.0,0.0,CA
California,2021,February,0.0,17074227.0,0.0,CA
California,2021,January,0.0,17067791.0,0.0,CA
California,2021,July,0.0,16993905.0,0.0,CA
California,2021,June,0.0,16983540.0,0.0,CA
California,2021,March,0.0,17088399.0,0.0,CA
California,2021,May,0.0,16984381.0,0.0,CA
California,2021,November,0.0,17025186.0,0.0,CA
California,2021,October,0.0,17024923.0,0.0,CA
California,2021,September,0.0,17009899.0,0.0,CA
California,2022,April,0.0,17118069.0,0.0,CA
California,2022,February,0.0,17105373.0,0.0,CA
California,2022,January,0.0,17093390.0,0.0,CA
California,2022,March,0.0,17111669.0,0.0,CA
California,2022,May,0.0,17133276.0,0.0,CA
Colorado,2020,April,1.0,,,CO
Colorado,2020,August,1.0,,,CO
Colorado,2020,December,452.0,,,CO
Colorado,2020,February,742.0,,,CO
